,L,PAROLES,Dimension Dialogique,Dimension Epistémique,Domaine,N,Unnamed: 3
1553,L1,t’as un droit de véto mais le truc c’est que tu peux pas toujours l’employer quoi parce que sinon enfin je considère vachement que les gens sont aussi y’a des gens qui sont dans l’opposition permanente et qui,Arg+,VA,engagement,,
1554,L4,oui oui oui si t’as une personne qu’est pas d’accord sur 100 tu peux quand même voter le truc enfin,Préc,0,,622,
1555,L1,voilà je veux dire si cette personne ça fait déjà en gros t’imagines une fois sur deux,Préc,0,,623,
1556,L4,ouais,[+],0,,624,
1557,L1,elle dit nan au final  là tu lui dis,0,0,,625,
1558,L3,et le fait que si vraiment en discutant comme ça on n’y arrive pas on peut faire genre un tableau avec les avantages les inconvénients etc et après du coup ça permet de plus décider ,P57,0,,626,
1559,L1,ça c’est plus résolution des problèmes comme il l’a expliqué dans la vidéo  tu vois ce que je veux dire sur ce cette espèce,Préc,0,,627,
1560,L3,je veux dire c’est plus que discuter c’est plus que essayer de convaincre l’autre etc c’est que au bout d’un moment bah si tu veux décider sans prendre de sans faire de vote et tout,Arg+,VA,engagement,,
1561,L1,mais si c’est le tableau là t’es plus dans une méthode de résolution enfin plutôt dans un outil de résolution que dans une méthode globale quoi ,Arg-,FAI,utilité,,
1562,L3,ouais à la place d’un vote fin c’est un outil de résolution s’il y a un conflit effectivement,Préc,0,,630,
1563,L1,ouais,0,0,,631,
1564,L2,bah le problème c’est que y’a certains certaines choses certains les mettraient dans les pour et d’autre dans les contres,Arg-,FAI,efficacité,,
1565,L3,bah justement tu listes tout et après tu as un tableau tu mets un peu les avantages les inconvénients je pense que c’est une méthode de résolution ,Arg+,FAI,efficacité,,
1566,L1,je sais pas si c’est pertinent de partir sur ce enfin sur ça dans le sens où c’est vraiment qu’un point de détail à une résolution c’est comme si on disait,Arg-,FAI,utilité,,
1567,L3,bah justement on n’a pas de méthode de tu vois quand y’a une opposition qu’est-ce que tu fais quoi,Arg+,FAI,utilité,,
1568,L1,qu’est-ce que tu fais bah je ce que moi sur un point de vue plus général c’est plutôt de dire que la personne en opposition elle doit devenir actrice enfin pour l’élaboration d’une solution qui lui convient,P58,0,,636,
1569,L3,ouais ah ouais,0,0,,637,
1570,L1,donc c’est obliger la personne qui est dans l’opposition formelle à aider à résoudre ce problème en fait,Arg+,VA,engagement,,
1571,L4,d’accord d’accord bah c’est bien,[+],0,,639,
1572,L1,c’est-à-dire que y’a,0,0,,640,
1573,L3,mais du coup elle va proposer autre chose qui va pas convenir aux autres,Arg-,FAI,efficacité,,
1574,L2,pas forcément,[-],0,,642,
1575,L4,pas forcément,[-],0,,643,
1576,L1,pas forcément parce que si si,[-],0,,644,
1577,L3,bah si,0,0,,645,
1578,L2,les autres auront pas forcément,0,0,,646,
1579,L1,la personne elle a quand même pour but de rester au plus proche de ce qui a été proposé,Arg+,FAI,efficacité,,
1580,L2,et si la personne qu’est contre est plus intelligente que toutes les toutes les personnes qu’ont proposé un truc il pourra avoir toutes les excuses,Arg-,FAI,efficacité,,
1581,L3,ouais mais souvent le seul qui est contre ça va être le chiant de service il va proposer une solution qui va pas,Arg-,FAI,efficacité,,
1582,L1,ce que je veux dire c’est que pour prendre une décision je te dis je suis pas d’accord,Préc,0,,650,
1583,L3,ouais,0,0,,651,
1584,L1,si je te dis je suis pas d’accord avec ce que tu dis,Préc,0,,652,
1585,L4,faut que tu proposes une solution,Préc,0,,653,
1586,L1,faut que je propose une solution,Préc,0,,654,
1587,L3,ouais mais bon c’est t’as vu que t’es contre ta solution elle me satisfait pas,Arg-,FAI,efficacité,,
1588,L2,nan mais je pense que ça arrivera pas souvent que mais,Arg+,FAI,efficacité,,
1589,L4,nan mais justement dans le,0,0,,657,
1590,L1,le truc c’est que déjà t’as le ,0,0,,658,
1591,L2,ça peut amener des pistes de réflexion sans être forcément ,Arg+,FAI,efficacité,,
1592,L1,mais tu dois c’est juste que tu dois participer à l’élaboration d’une solution pas forcément dans l’apport total de la solution ,Arg+,VA,engagement,,
1593,L3,ouais,[+],0,,661,
1594,L1,"c’est à dire que faut que tu justifies ton rapport avec ton opposition tu vois, pourquoi t’es en opposition faut que tu le justifies que tu l’expliques et après t’aides à justement ",Arg+,VA,engagement,,
1595,L3,j’ai l’impression du coup dans ce cas ça va être ,0,0,,663,
1596,L1,c’est juste devenir acteur de la solution si t’es en opposition quoi,Arg+,VA,engagement,,
1597,L3,ouais,[+],0,,665,
1598,L4,ouais,[+],0,,666,
1599,L1,parce que sinon ça reste ça tu peux être systématiquement dans l’opposition parce que y’a rien qui te convient mais après tu réfléchis t’attendras que les autres te sortent une solution qui te convient quoi,Arg+,VA,engagement,,
1600,L3,ouais,[+],0,,668,
1601,L1,auquel cas t’as vite fait d’être en opposition tout le temps,Arg+,VA,engagement,,
1602,L3,ouais je suis pas sûre que ça marche normalement je me dis celui qu’est en opposition il va pas enfin il va pas trouver une solution qui convient à tout le monde ou ,Arg-,FAI,efficacité,,
1603,L2,pas forcément,[-],0,,671,
1604,L4,tu peux avoir un pour l’achat d’une voiture tu peux proposer je sais pas prendre le bus prendre autre chose tu vois  si vraiment c’est pas possible et je sais pas moi je pense que ça pourrait marcher ,Arg+,FAI,efficacité,,
1605,L1,bah,0,0,,673,
1606,L3,je pense autant que lister les avantages les inconvénients,Arg+,FAI,efficacité,,
1607,L1,bah nan mais ce que je veux dire c’est qu’après pour trouver une solution ils peuvent lister des avantages des inconvénients enfin moi je le vois plus comme  je vois pas ça comme une,Préc,0,,675,
1608,L2,mais par exemple ouais pour l’achat d’une voiture tout le monde veut acheter une Renault Scénic et lui il dit bah moi je veux pas de Renault Scénic est-ce que je connais un moyen d’avoir une autre bagnole mieux et moins chère et puis il arrive et puis à peu près c’est accepté,Arg+,FAI,efficacité,,
1609,L3,c’est un peu mettre sur papier les vrais trucs pour pas rester tu vois,Arg+,FAI,efficacité,,
1610,L1,nan mais tu peux marquer la liste je pense que c’est un procédé qui marche dans la prise de décision c’est sûr,[+],0,,678,
1611,L4,oui c’est un exemple ((répond à L2)),0,0,,679,
1612,L3,bah t’façon ça c’est pas l’un ou l’autre quoi tu peux faire l’un ça marche pas tu fais l’autre,Préc,0,,680,
1613,L1,mais ce que je veux dire c’est qu’à ce moment-là on peut lister tous les trucs qui marchent c’est-à-dire on peut faire des brainstorming on peut faire des maps on peut faire des tableaux on peut faire tu vois ce que je veux dire,Préc,0,,681,
1614,L4,c’est une solution ouais,[+],0,,682,
1615,L3,ouais en même temps que mettre que l’autre il est dans la solution,Préc,0,,683,
1616,L2,on peut faire des PowerPoint,Préc,0,,684,
1617,L1,pour moi c’est pas les deux mêmes trucs y’en a un c’est genre un outil pour trouver une solution et l’autre c’est un concept de solutionnement enfin comment les gens vont interagir dans la solution quoi c’est pas forcément c’est qui va être impliqué dans ce travail et après ce travail ça va être de faire des tableaux des choses comme ça tu vois,Préc,0,,688,
1618,L4,moi j’ai pas écouté j’ai pas compris en tout cas le numérique,0,0,,696,
1619,L1,yes,0,0,,697,
1620,L2,bah c’est ce qu’on disait tout à l’heurre c’est ,0,0,,698,
1621,L4,oui tout numériser,0,0,,699,
1622,L2,permet de mesurer les ressources machin,P59,0,,700,
1623,L1,on est dans un rapport d’information constant sur tout quoi,Préc,0,,701,
1624,L4,oui sur la consommation les échanges sur le,Préc,0,,702,
1625,L2,c’est la quantification de tout voilà,Préc,0,,703,
1626,L1,faut essayer de maximiser l’information sur tous les biens collectifs leur accès,Préc,0,,704,
1627,L4,oui,[+],0,,705,
1628,L1,la mise en  prioritaire l’emploi des objets et tout  ,Préc,0,,0706a,
1629,L1,mais après tu peux imaginer tu sais des systèmes en temps réel avec des géolocalisations ,P60,0,,0706b,
1630,L1,par exemple si tu retrouves un problème dans ta communauté sur un bien commun tu le signales et après la personne la plus à même de pouvoir t’aider dans une géolocalisation va pouvoir venir t’aider  tu vois t’es toujours dans un avec des systèmes d’alarme tu peux tout toujours,Arg+,FAI,utilité,,
1631,L4,ouais,[+],0,,707,
1632,L2,ouais ça moi j’avais juste rajouté partage des biens culturels,Préc,0,,708,
1633,L4,internet les applications ((parle à L3 qui écrit)),0,0,,709,
1634,L1,oui oui après on a le,0,0,,710,
1635,L4,ouais les compteurs intelligents,P61,0,,711,
1636,L3,suivi des informations ((écrit)),0,0,,712,
1637,L1,ouais même au niveau des connaissances tu peux faire des centralisations d’actu ou t’as accès à un truc tu  enfin des bases de données quoi accès à des bases de données collectives,P62,0,,713,
1638,L4,ouais,[+],0,,714,
1639,L1,référencement des compétences des gens dans la communauté  tu peux,Préc,0,,715,
1640,L3,ça j’ai mis du coup planning d’utilisation des biens et disposition des services,P63,0,,716,
1641,L1,très bien,[+],0,,717,
1642,L3,et c’est chacun qui bah avec le système de points du coup qui dit j’ai ça j’ai ça je suis là deux res pour garder vos enfants ça vous coutera deux points ((rires)),Préc,0,,718,
1643,L4,ouais ouais,[+],0,,719,
1644,L1,et justement dans cette géolocalisation t’as des des gens enfin des intervenants qui pourront   dire s’ils pourront faire quelque chose ou pas,Préc,0,,723,
1645,L3,ouais ça c’était un peu avec notification des problèmes,Préc,0,,724,
1646,L1, ouais  ,[+],0,,725,
1647,L4,enfin imaginez un ensemble d’évènements qui pourraient arriver dans votre quartier ((lit les consignes)),0,0,,726,
1648,L2,bah en fait là je pensais on peut imaginer une    des gens dans le quartier qui pourraient avoir envie d’exclure quelqu’un du quartier mettons,P64,0,,727,
1649,L1,là on est vraiment dans  nan mais,0,0,,728,
1650,L2,comment la prise de décision se fait,Préc,0,,729,
1651,L3,avec le conflit qui se créer et tout,Préc,0,,730,
1652,L2,ouais,[+],0,,731,
1653,L1,ouais ouais ce qui tu justement c’est,[+],0,,732,
1654,L2,genre si y’a eu un vol,Préc,0,,733,
1655,L3,ah y’a aussi si un nouvel habitant,P65,0,,734,
1656,L2,je pensais au nouvel habitant après je me suis dit c’est plus rigolo si c’est un mec qui va se faire virer,Préc,0,,0735a,
1657,L1,bah c’est,0,0,,736,
1658,L2,parce que c’est plus polémique sur le,Préc,0,,737,
1659,L1,ouais,[+],0,,738,
1660,L2,parce que ça serait plus  justifier l’exclusion de la personne ,Préc,0,,739,
1661,L1,toi t’arrives dans un truc un peu plus au sujet de la psycho quelqu’un qui se fait mettre en défaut une fois sera beaucoup plus à même de se de d’être sur la défensive dans le reste des interactions qu’elle aura avec les gens effectivement  mais c’est arriver sur des scissions avec les gens et des groupes quoi c’est créer des groupes dans le groupe,Préc,0,,740,
1662,L2,mais sinon oui on peut imaginer l’arrivée dans nouvel habitant et comment ça c’est obligé de modifier la géolocalisation des ressources puisque  soit t’as plus de ressources  soit chacun en a moins en fait avec une personne en plus,Préc,0,,741,
1663,L1,en gros c’est problèmes sociaux ,P66,0,,742,
1664,L3,ouais je mets problèmes sociaux  on va en lister quelques-uns,[+],0,,743,
1665,L1,slash ségrégation slash tout ce que tu veux tu vois genre connerie aine,Préc,0,,744,
1666,L2,ça peut être des vols ouais je sais pas,Préc,0,,745,
1667,L1,et c’est là où justement on en revient à ces à l’intérêt d’aller créer des  une culture parallèle qui est une culture de la communauté c’est justement t’arrives à exclure ton côté individuel et ton côté con pour pouvoir genre te focaliser sur le bienfait de la communauté parce que c’est quelque chose qui qui  qui te parle directement tu vois c’est là l’intérêt de la création d’une culture et dont comme ce tu vous disiez,Arg+,VA,engagement,,
1668,L4,je sais pas vraiment si y’a un accident climatique je sais pas qu’est ce qu’ils font faire la communauté pour s’en sortir par exemple,0,0,,754,
1669,L3,oui,0,0,,755,
1670,L1,bah après en cas d’accident climatique t’imagines enfin des zones en gros de réunion qui enfin t’imagines un espace par exemple  qui convient à par exemple si y’a eu une inondation   ,P67,0,,756,
1671,L3,ouais,[+],0,,757,
1672,L1,tremblement de terre donc c’est-à-dire t’as un espace surélevé un peu sur un terrain vague donc ça fait que déjà t’enlèves les problèmes sismiques d’inondation et tout ce que tu veux vu que c’est une zone de repère un peu pour la communauté de se réunir là et justement travailler après sur les solutions ,Préc,0,,758,
1673,L4,oui oui c’est ça qu’est bien  essayer de mettre en commun quoi,Préc,0,,759,
1674,L1,voilà il faut que t’es bah si on parle de catastrophes climatiques ,[+],0,,0760a,
1675,L1,après tu on peut aussi  je sais plus si c’est relative à une question mais  tu sais t’avais un côté tirage au sort  ou t’as une personne qui pourra avoir le dernier mot tu vois c’était sur le truc de décision là les,P68,0,,762,
1676,L3,ouais,[+],0,,763,
1677,L1,le consensus tu peux aussi imaginer un tirage au sort d’une personne qui aura par exemple le dernier sur la,Préc,0,,764,
1678,L3,ouais,[+],0,,765,
1679,L1,sur la chose tu vois,Préc,0,,766,
1680,L3,ouais ouais,[+],0,,767,
1681,L1,et c’est-à-dire pour le coup où t’es dans un truc où au final ,0,0,,768,
1682,L3,du coup tu changeras à chaque réunion,Préc,0,,769,
1683,L1,ouais voilà et tu tournes,0,0,,770,
1684,L2,ouais mais ça après ça dépend si t’as une ,0,0,,771,
1685,L1,t’es plus dans le consensus vraiment,0,0,,772,
1686,L2,si t’as une répartition très inégale entre si t’as genre dix personnes pour et deux contre là automatiquement t’auras beaucoup plus de chance de tomber sur une personne qu’est pour ,Arg-,VA,équité,,
1687,L1,ouais ouais c’est sûr,[+],0,,774,
1688,L2,le tirage au sort favorise  forcément la solution la plus ,Préc,0,,775,
1689,L2,qui est déjà la plus avan- la plus acceptée quoi,Préc,0,,777,
1690,L1,oui mais ça laisse une chance à la personne,Arg+,VA,équité,,
1691,L3,ou en tout cas t’as le tirage au sort pour   ouais je sais pas  pour dire tu vois les réunions faut peut être quelqu’un qui  stimule un peu qui vérifie que untel prend pas trop la parole,P69,0,,779,
1692,L1,ouais voilà et oui exactement faut toujours qu’il y ait un plus ou moins un leader,Arg+,VA,relations sociales,,
1693,L3,ouais,[+],0,,781,
1694,L1,justement ou un chef de groupe faut toujours que y’ait quelque chose comme ça tu vois  ,Arg+,VA,relations sociales,,
1695,L1,ouais tu peux imaginer qu’à chaque réunion ça tourne et que,Préc,0,,0782b,
1696,L3,on peut mettre ce système de tirage au sort pour ((écrit)) si besoin tirage au sort  ,Préc,0,,0783a,
1697,L3,et ouais les échanges on en a pas trop parlé ce serait intéressant de dire on a un lieu où tout enfin ouais je sais pas si on peut tirer des ficelles là-dessus pour trouver une idée originale,Préc,0,,0783b,
1698,L1,bah après c’est vrai qu’un système avec comme on avait vu dans le reportage où tu vas direction chez le particulier chercher ce dont t’as besoin quand t’es sur du matériel ,P70,0,,784,
1699,L3,ouais,[+],0,,785,
1700,L1,c’est un système ça plutôt qui marche plutôt bien  après effectivement si t’es vraiment dans un dans une communauté t’as plus besoin de faire ça tu centralises donc t’es dans la centralisation à justement des matériels collaboratifs enfin communs,P71,0,,786,
1701,L3,ouais comme les vélos les trucs comme ça,Préc,0,,789,
1702,L1,les vélos les voitures les outils tout ce que tout en gros tout ce que tu te sers pas au quotidien tu considères que tu le centralises justement dans ces points central des espaces de la communauté ,Préc,0,,790,
1703,L3,ouais elle est assez bonne notre communauté,[+],0,,791,
1704,L1,on peut aussi imaginer qu’on n’est pas du tout dans un rapport d’argent du tout,P72,0,,801,
1705,L4,comment tu veux faire quand tu veux acheter ?,Q,0,,802,
1706,L1,bah on on peut considérer  t’as une scission genre ta vie en communauté et ta vie personnelle tu vois c’est-à-dire que t’as tout à fait le droit de t’acheter ce que tu veux et de pas prêter tes objets rien,Préc,0,,803,
1707,L4,oui,0,0,,804,
1708,L1,mais par contre dans le cadre de la communauté y’a pas de notion d’argent,Préc,0,,805,
1709,L4,d’accord mais quand tu,0,0,,806,
1710,L3,c’est-à-dire que tu prêtes à chaque fois comme ils montraient,Préc,0,,807,
1711,L1,tu vois ce que je veux dire  exactement,0,0,,808,
1712,L3,tu prêtes,Préc,0,,809,
1713,L4,quand tu manges chez toi par exemple c’est tu peux acheter des choses pour toi quoi,Préc,0,,810,
1714,L1,voilà exactement après c’est vraiment enfin t’as le choix entre  l’un ou l’autre et justement dans ce système d’échange tu dis c’est si t’es dans la communauté t’es pas là pour compter ou quoi que ce soit,Préc,0,,811,
1715,L4, ouais,[+],0,,812,
1716,L1,c’est-à-dire que si t’as quelque chose à mettre en commun bah tu le mets en commun et et après ce sera les applications le système de priorité et tout qui prendra des décisions à ta place quoi  et toi t’es pas acteur de ce que va devenir ton ton produit quoi,Préc,0,,813,
1717,L3,et puis en plus c’est pas  l’un ou l’autre tu peux dire ,Préc,0,,819,
1718,L1,ouais voilà,[+],0,,820,
1719,L3,j’appelle ça comment prêt ((écrit)) oui c’est vrai que si t’as une application avec tous les trucs que tu proposes tu peux soit les mettre,Préc,0,,821,
1720,L1,voilà mais c’est justement après c’est dans ta culture et comment tu prends cette culture de communauté que tu te dis bon bah vas y je,Préc,0,,822,
1721,L3, ouais je veux mettre des points ou je veux pas mettre des points,Préc,0,,823,
1722,L1,voilà exactement  après par exemple dans le consensus est-ce que on peut aussi dire que toutes les personnes de la communauté font partie de ce consensus,P73,0,,824,
1723,L3,ouais,0,0,,825,
1724,L1,ou est-ce qu’on a une partie,P74,0,,826,
1725,L3,xx,0,0,,827,
1726,L1,ouais voilà ou alors est-ce que tu mets qu’une personne par foyer tu vois,P75,0,,828,
1727,L2,bah on sait très bien qui va voter dans le foyer,Préc,0,,829,
1728,L1,oui nan mais ((rires)),0,0,,830,
1729,L2,on va pas déconner hein  ou alors tu tires des foyers au hasard,P76,0,,831,
